Job Title,Company,Location,Employment Type,Skills,Experience_Level,Salary_USD,Date_Posted
AWS Solutions Architect,Microsoft,"Chicago, IL",Remote,"Azure, Google Cloud, Python, CI/CD, Kubernetes",Mid-level,138479,4/11/2024
DevOps Engineer,Cisco,"Chicago, IL",Contract,"Google Cloud, Java, Azure, Python, CI/CD",Entry-level,159269,4/25/2019
AWS Solutions Architect,Microsoft,"Boston, MA",Full-time,"Azure, Java, Docker, Kubernetes, Python",Director,150568,12/22/2024
Cloud Consultant,Oracle,"Seattle, WA",Contract,"Kubernetes, DevOps, Google Cloud",Senior,156985,12/19/2023
AWS Solutions Architect,VMware,"Boston, MA",Remote,"Java, Terraform, AWS",Mid-level,106726,3/13/2021
DevOps Engineer,Adobe,"Boston, MA",Remote,"AWS, Java, Docker, Kubernetes",Lead,98320,2/5/2021
DevOps Engineer,Google,"Austin, TX",Contract,"CI/CD, Google Cloud, Docker, DevOps",Mid-level,189964,8/3/2024
DevOps Engineer,Google,"San Francisco, CA",Part-time,"Python, CI/CD, Kubernetes",Mid-level,178917,9/7/2023
Cloud Consultant,Microsoft,"Chicago, IL",Full-time,"DevOps, Azure, Kubernetes",Senior,153340,10/6/2024
AWS Solutions Architect,Accenture,"Austin, TX",Full-time,"DevOps, AWS, Kubernetes, CI/CD",Director,147276,11/17/2023
Cloud Architect,VMware,"San Francisco, CA",Remote,"Kubernetes, AWS, DevOps, CI/CD, Python",Director,98512,2/28/2025
DevOps Engineer,Cisco,"Chicago, IL",Contract,"DevOps, Python, CI/CD",Entry-level,199504,9/19/2022
Cloud Architect,Oracle,"New York, NY",Full-time,"Kubernetes, Java, Terraform, Docker",Entry-level,185373,6/15/2022
Cloud Consultant,Microsoft,"Austin, TX",Part-time,"CI/CD, Docker, AWS, DevOps, Python",Senior,129435,10/14/2022
Cloud Consultant,Oracle,"San Francisco, CA",Contract,"DevOps, Java, Kubernetes, Azure",Mid-level,170754,5/25/2020
Senior Cloud Engineer,Microsoft,"New York, NY",Contract,"Azure, Kubernetes, Google Cloud, Java",Director,98267,7/1/2024
AWS Solutions Architect,IBM,"Seattle, WA",Full-time,"Python, Google Cloud, Terraform, AWS",Lead,109904,7/4/2024
Cloud Consultant,Microsoft,"Chicago, IL",Part-time,"Azure, Terraform, Kubernetes, Java",Entry-level,133510,12/20/2022
Cloud Consultant,Amazon,"New York, NY",Full-time,"Google Cloud, DevOps, Azure, CI/CD",Lead,164108,11/24/2021
AWS Solutions Architect,Oracle,"New York, NY",Contract,"Google Cloud, Docker, Java",Senior,113145,6/17/2024
Senior Cloud Engineer,Amazon,"Chicago, IL",Part-time,"AWS, Google Cloud, Java",Lead,179217,12/26/2020
Senior Cloud Engineer,Amazon,"San Francisco, CA",Full-time,"Python, AWS, Terraform",Mid-level,132436,1/24/2020
AWS Solutions Architect,Salesforce,"Seattle, WA",Remote,"DevOps, AWS, Terraform, Java, Docker",Senior,150489,11/7/2020
Cloud Consultant,Adobe,"San Francisco, CA",Remote,"DevOps, Python, Azure, Google Cloud",Senior,193650,11/2/2021
Cloud Architect,Amazon,"Boston, MA",Full-time,"Python, Terraform, Azure, Google Cloud",Entry-level,98218,5/15/2022
Senior Cloud Engineer,Google,"Seattle, WA",Remote,"DevOps, Java, Terraform, Google Cloud, Docker",Lead,135831,3/25/2022
AWS Solutions Architect,Amazon,"Austin, TX",Part-time,"Google Cloud, Python, AWS, CI/CD, Kubernetes",Entry-level,106552,4/10/2020
Cloud Architect,Salesforce,"San Francisco, CA",Part-time,"DevOps, Terraform, Google Cloud, Docker",Mid-level,93850,10/8/2019
Cloud Consultant,Adobe,"Chicago, IL",Full-time,"Kubernetes, DevOps, Google Cloud, Python, Docker",Lead,115002,12/31/2021
Cloud Consultant,IBM,"Seattle, WA",Part-time,"Azure, Java, Google Cloud, Kubernetes, DevOps",Entry-level,190528,7/20/2024
Cloud Architect,Salesforce,"New York, NY",Contract,"Kubernetes, Azure, Docker, Java",Entry-level,123508,8/28/2023
AWS Solutions Architect,Oracle,"Boston, MA",Full-time,"Java, Python, CI/CD",Director,189844,3/26/2022
AWS Solutions Architect,Accenture,"Chicago, IL",Part-time,"Java, Azure, Terraform, Python",Lead,197294,5/2/2019
Cloud Architect,VMware,"Austin, TX",Remote,"Kubernetes, AWS, DevOps",Senior,125915,6/15/2024
Senior Cloud Engineer,Cisco,"Austin, TX",Part-time,"Python, Docker, Java, Azure, Terraform",Senior,192672,1/10/2022
AWS Solutions Architect,IBM,"Chicago, IL",Contract,"AWS, Java, Terraform, Docker",Senior,108342,1/20/2021
Senior Cloud Engineer,Accenture,"Seattle, WA",Contract,"Java, Terraform, Docker, Python, Google Cloud",Entry-level,174556,7/4/2022
Senior Cloud Engineer,Oracle,"Chicago, IL",Contract,"Google Cloud, Terraform, Python, Docker",Lead,124820,9/24/2020
Senior Cloud Engineer,Accenture,"Boston, MA",Contract,"AWS, Docker, Terraform, DevOps",Mid-level,168742,5/21/2021
Senior Cloud Engineer,Oracle,"Chicago, IL",Contract,"Python, Terraform, AWS, Docker, Google Cloud",Lead,119017,5/29/2019
AWS Solutions Architect,Accenture,"Chicago, IL",Remote,"CI/CD, Kubernetes, Python, Google Cloud, DevOps",Director,129134,3/25/2019
Cloud Consultant,Google,"Chicago, IL",Part-time,"Java, Python, Terraform",Director,136304,9/1/2021
Cloud Consultant,VMware,"San Francisco, CA",Full-time,"AWS, Docker, Azure",Director,156093,9/25/2022
Senior Cloud Engineer,Microsoft,"San Francisco, CA",Remote,"CI/CD, AWS, Python, Docker",Director,159866,2/23/2021
DevOps Engineer,Salesforce,"Boston, MA",Full-time,"CI/CD, AWS, Docker",Senior,184216,8/26/2023
Senior Cloud Engineer,Amazon,"Austin, TX",Contract,"Terraform, Java, Docker",Senior,185002,5/6/2023
Cloud Architect,Accenture,"San Francisco, CA",Contract,"Docker, Azure, Python",Director,132168,8/26/2019
Cloud Consultant,Adobe,"San Francisco, CA",Remote,"Kubernetes, AWS, Python, Docker, Java",Director,189683,8/26/2023
AWS Solutions Architect,Oracle,"San Francisco, CA",Remote,"CI/CD, Docker, AWS",Director,123440,1/2/2020
DevOps Engineer,Salesforce,"Boston, MA",Contract,"Python, Kubernetes, Java, Docker, Google Cloud",Entry-level,94977,11/16/2020
Senior Cloud Engineer,Salesforce,"Boston, MA",Contract,"Google Cloud, CI/CD, Kubernetes",Lead,197223,8/30/2023
DevOps Engineer,Cisco,"Chicago, IL",Full-time,"DevOps, CI/CD, Azure, Kubernetes, Python",Senior,129937,2/27/2020
Cloud Consultant,Oracle,"San Francisco, CA",Part-time,"Google Cloud, Python, CI/CD",Senior,96469,5/11/2023
Senior Cloud Engineer,Google,"Seattle, WA",Part-time,"AWS, Kubernetes, Python, CI/CD, Terraform",Director,108256,3/14/2023
Cloud Consultant,Google,"Boston, MA",Remote,"Azure, AWS, Docker, Google Cloud, Java",Mid-level,119739,6/1/2021
Senior Cloud Engineer,Amazon,"New York, NY",Remote,"Google Cloud, AWS, Kubernetes, Docker",Director,109678,5/13/2020
AWS Solutions Architect,Amazon,"Austin, TX",Remote,"Azure, DevOps, AWS, Java, Terraform",Entry-level,121766,7/13/2019
Senior Cloud Engineer,Google,"Chicago, IL",Remote,"Java, Google Cloud, Docker, Terraform, AWS",Mid-level,173785,6/6/2024
DevOps Engineer,VMware,"Chicago, IL",Contract,"Google Cloud, AWS, Azure, Docker, CI/CD",Lead,185212,5/4/2022
Cloud Consultant,Amazon,"Austin, TX",Remote,"Azure, Google Cloud, DevOps",Director,114841,11/18/2024
Senior Cloud Engineer,IBM,"New York, NY",Contract,"Kubernetes, Docker, CI/CD, DevOps, Terraform",Senior,175469,4/30/2021
DevOps Engineer,Oracle,"Austin, TX",Part-time,"Azure, CI/CD, Google Cloud",Mid-level,199779,1/13/2024
Cloud Consultant,Salesforce,"Austin, TX",Full-time,"Java, AWS, Python",Director,107559,8/21/2022
